date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:32	304/304	---MCZ	200	added ('OK')	text/plain	etag:W/%221f8-ai64hh7gFVZSY0RaSt+S06Onyxg%22	https://www.greenschoolsfoundation.org/robots.txt		(from )
13:58:33	835998/835998	---MCZ	200	added ('OK')	text/html	etag:W/%22df63161978ecb707f9000cb63e4ff1c6%22	https://www.greenschoolsfoundation.org/	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/index.html	(from )
13:58:33	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Nov%202025%2018:58:33%20GMT	https://www.greenschoolsfoundation.org/t	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/t.0.delayed	(from https://www.greenschoolsfoundation.org/)
13:58:34	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Nov%202025%2018:58:34%20GMT	https://www.greenschoolsfoundation.org/e	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/e.1.delayed	(from https://www.greenschoolsfoundation.org/)
13:58:36	7565/7565	---MCZ	200	added ('OK')	text/xml	date:Sun,%2016%20Nov%202025%2018:58:35%20GMT	https://www.greenschoolsfoundation.org/blog-feed.xml	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/blog-feed.xml	(from https://www.greenschoolsfoundation.org/)
13:58:37	650771/650771	---MCZ	200	added ('OK')	text/html	etag:W/%2211851f36aae01f05315d9ac13e03252f%22	https://www.greenschoolsfoundation.org/foundation-initiatives	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/foundation-initiatives.html	(from https://www.greenschoolsfoundation.org/)
13:58:38	661598/661598	---MCZ	200	added ('OK')	text/html	etag:W/%221db11ea7b864fd458b78cbf0c2c6352c%22	https://www.greenschoolsfoundation.org/academic-class-grants	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/academic-class-grants.html	(from https://www.greenschoolsfoundation.org/)
13:58:39	618567/618567	---MCZ	200	added ('OK')	text/html	etag:W/%220a90f574421c2130b960e4d99cdc2564%22	https://www.greenschoolsfoundation.org/academy-of-scholars	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/academy-of-scholars.html	(from https://www.greenschoolsfoundation.org/)
13:58:40	618736/618736	---MCZ	200	added ('OK')	text/html	etag:W/%2297e65d34407fed87ba3d17bbeab809ab%22	https://www.greenschoolsfoundation.org/gsf-book-clubs	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/gsf-book-clubs.html	(from https://www.greenschoolsfoundation.org/)
13:58:40	621510/621510	---MCZ	200	added ('OK')	text/html	etag:W/%22e4ae1c5929acd531b7e38462447ba87f%22	https://www.greenschoolsfoundation.org/laws-of-life	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/laws-of-life.html	(from https://www.greenschoolsfoundation.org/)
13:58:42	623736/623736	---MCZ	200	added ('OK')	text/html	etag:W/%222139239facaf22a7cad8e779e2093113%22	https://www.greenschoolsfoundation.org/pbis	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/pbis.html	(from https://www.greenschoolsfoundation.org/)
13:58:43	618168/618168	---MCZ	200	added ('OK')	text/html	etag:W/%22f2abcb81a67131f545d6ec25466e1f17%22	https://www.greenschoolsfoundation.org/rox	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/rox.html	(from https://www.greenschoolsfoundation.org/)
13:58:45	634453/634453	---MCZ	200	added ('OK')	text/html	etag:W/%22d00ffc409bb6f7dbeca8c0814255088e%22	https://www.greenschoolsfoundation.org/scholarships	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/scholarships.html	(from https://www.greenschoolsfoundation.org/)
13:58:46	643064/643064	---MCZ	200	added ('OK')	text/html	etag:W/%229b0cd4c5b19384b595e7db752c16addc%22	https://www.greenschoolsfoundation.org/corporate-scholarship	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/corporate-scholarship.html	(from https://www.greenschoolsfoundation.org/)
13:58:47	617721/617721	---MCZ	200	added ('OK')	text/html	etag:W/%2222a97d1ad3a6f89ef02a7b2d1df18d8b%22	https://www.greenschoolsfoundation.org/little-free-library	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/little-free-library.html	(from https://www.greenschoolsfoundation.org/)
13:58:48	618699/618699	---MCZ	200	added ('OK')	text/html	etag:W/%22fd0b290719edd9df25446f31f1755350%22	https://www.greenschoolsfoundation.org/staff-spotlight	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/staff-spotlight.html	(from https://www.greenschoolsfoundation.org/)
13:58:49	652569/652569	---MCZ	200	added ('OK')	text/html	etag:W/%224c3b82f1070caa3d0d159308b3be37ac%22	https://www.greenschoolsfoundation.org/celebration-of-education	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/celebration-of-education.html	(from https://www.greenschoolsfoundation.org/)
13:58:49	627686/627686	---MCZ	200	added ('OK')	text/html	etag:W/%2282ca57e095345216f1233ce5e7902cc5%22	https://www.greenschoolsfoundation.org/about-gsf	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/about-gsf.html	(from https://www.greenschoolsfoundation.org/)
13:58:51	658579/658579	---MCZ	200	added ('OK')	text/html	etag:W/%22fe426c4562ff22a43733f8287bd51f8e%22	https://www.greenschoolsfoundation.org/membership	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/membership.html	(from https://www.greenschoolsfoundation.org/)
13:58:52	897298/897298	---MCZ	200	added ('OK')	text/html	etag:W/%2294f144ab13e98740d7a0d817f7664e32%22	https://www.greenschoolsfoundation.org/blog	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/blog.html	(from https://www.greenschoolsfoundation.org/)
13:58:52	2209/2209	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Nov%202025%2018:58:52%20GMT	https://www.greenschoolsfoundation.org/media/emptystate.85a4add5.svg	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/media/emptystate.85a4add5.12.delayed	(from https://www.greenschoolsfoundation.org/)
13:58:53	2207/2207	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2016%20Nov%202025%2018:58:53%20GMT	https://www.greenschoolsfoundation.org/GSFacademyofscholarsryanh.jpg	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/GSFacademyofscholarsryanh.13.delayed	(from https://www.greenschoolsfoundation.org/)
13:58:57	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Nov%202025%2018:58:55%20GMT	https://www.greenschoolsfoundation.org/api/	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/api/index.html	(from https://www.greenschoolsfoundation.org/)
13:58:57	82060/82060	---M--	200	added ('OK')	application/pdf	etag:%2249235028b2bb2339e54e225b5d86f4cf%22	https://www.greenschoolsfoundation.org/_files/ugd/a8cc6d_96fc3ec406e4415cadf4a9265d9fd23c.pdf	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/_files/ugd/GSF%20Trustee%20Application%202024.pdf_;%20filename_=UTF-8''GSF%20Trustee%20Application%202024.pdf	(from https://www.greenschoolsfoundation.org/)
13:58:57	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Nov%202025%2018:58:55%20GMT	https://www.greenschoolsfoundation.org/envelope/	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/envelope/index.html	(from https://www.greenschoolsfoundation.org/)
13:58:57	511/511	---MCZ	200	added ('OK')	text/xml	etag:W/%221ff-ck5fP5wdytFkdvL3fw0ExINrirg%22	https://www.greenschoolsfoundation.org/sitemap.xml	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/sitemap.xml	(from https://www.greenschoolsfoundation.org/)
13:58:57	2209/2209	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Nov%202025%2018:58:57%20GMT	https://www.greenschoolsfoundation.org/feed.xml	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/feed.16.delayed	(from https://www.greenschoolsfoundation.org/)
13:58:58	2207/2207	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2016%20Nov%202025%2018:58:58%20GMT	https://www.greenschoolsfoundation.org/decodeURIComponent(e	./www.greenschoolsfoundation.org/www.greenschoolsfoundation.org/decodeURIComponent(e.17.delayed	(from https://www.greenschoolsfoundation.org/)
